"variable","ccodealp","year","metric","value"
"mad_gdppc","DEU",1992,"value.u",0.5632025119624
"mad_gdppc","DEU",1993,"value.u",0.553546537881241
"mad_gdppc","DEU",1994,"value.u",0.568591506496745
"mad_gdppc","DEU",1995,"value.u",0.579235251958887
"mad_gdppc","DEU",1996,"value.u",0.584002823101422
"mad_gdppc","DEU",1997,"value.u",0.595324837212519
"mad_gdppc","DEU",1998,"value.u",0.607905531915195
"mad_gdppc","DEU",1999,"value.u",0.621696063990331
"mad_gdppc","DEU",2001,"value.u",0.652195771465583
"mad_gdppc","DEU",2002,"value.u",0.651555199916286
"mad_gdppc","DEU",2003,"value.u",0.649481449176573
"mad_gdppc","DEU",2004,"value.u",0.657182431436536
"mad_gdppc","DEU",2005,"value.u",0.662420659467032
"mad_gdppc","DEU",2006,"value.u",0.686908639120717
"mad_gdppc","DEU",2007,"value.u",0.706792187140679
"mad_gdppc","DNK",1992,"value.u",0.644056361024962
"mad_gdppc","DNK",1993,"value.u",0.640954321315448
"mad_gdppc","DNK",1994,"value.u",0.679314643523457
"mad_gdppc","DNK",1995,"value.u",0.699059237007562
"mad_gdppc","DNK",1996,"value.u",0.717110693176111
"mad_gdppc","DNK",1997,"value.u",0.73980369921361
"mad_gdppc","DNK",1998,"value.u",0.754865854210422
"mad_gdppc","DNK",1999,"value.u",0.773865336608593
"mad_gdppc","DNK",2001,"value.u",0.805458276150914
"mad_gdppc","DNK",2002,"value.u",0.806371160966964
"mad_gdppc","DNK",2003,"value.u",0.806605284642306
"mad_gdppc","DNK",2004,"value.u",0.822473992053425
"mad_gdppc","DNK",2005,"value.u",0.841320171016589
"mad_gdppc","DNK",2006,"value.u",0.869121263775756
"mad_gdppc","DNK",2007,"value.u",0.881481913673555
"mad_gdppc","ESP",1992,"value.u",0.387400088563474
"mad_gdppc","ESP",1993,"value.u",0.381419963035613
"mad_gdppc","ESP",1994,"value.u",0.392108471356385
"mad_gdppc","ESP",1995,"value.u",0.404933831450723
"mad_gdppc","ESP",1996,"value.u",0.416404798768685
"mad_gdppc","ESP",1997,"value.u",0.435677244548824
"mad_gdppc","ESP",1998,"value.u",0.458964839744152
"mad_gdppc","ESP",1999,"value.u",0.483923747779298
"mad_gdppc","ESP",2001,"value.u",0.534643324012982
"mad_gdppc","ESP",2002,"value.u",0.550725062206237
"mad_gdppc","ESP",2003,"value.u",0.56982428931766
"mad_gdppc","ESP",2004,"value.u",0.590599136363719
"mad_gdppc","ESP",2005,"value.u",0.614388419031163
"mad_gdppc","ESP",2006,"value.u",0.641931355944365
"mad_gdppc","ESP",2007,"value.u",0.667686970621083
"mad_gdppc","FIN",1992,"value.u",0.489857857157748
"mad_gdppc","FIN",1993,"value.u",0.479789737131417
"mad_gdppc","FIN",1994,"value.u",0.500098018313003
"mad_gdppc","FIN",1995,"value.u",0.518516686663388
"mad_gdppc","FIN",1996,"value.u",0.5400141106622
"mad_gdppc","FIN",1997,"value.u",0.577772896219451
"mad_gdppc","FIN",1998,"value.u",0.614357825239076
"mad_gdppc","FIN",1999,"value.u",0.640386779801659
"mad_gdppc","FIN",2001,"value.u",0.694970049558224
"mad_gdppc","FIN",2002,"value.u",0.705801226308477
"mad_gdppc","FIN",2003,"value.u",0.718528990792712
"mad_gdppc","FIN",2004,"value.u",0.747142006891318
"mad_gdppc","FIN",2005,"value.u",0.769375974740747
"mad_gdppc","FIN",2006,"value.u",0.810599192129114
"mad_gdppc","FIN",2007,"value.u",0.847562510485871
"mad_gdppc","FRA",1992,"value.u",0.606546279819661
"mad_gdppc","FRA",1993,"value.u",0.595886043932741
"mad_gdppc","FRA",1994,"value.u",0.607077015338687
"mad_gdppc","FRA",1995,"value.u",0.620487719127716
"mad_gdppc","FRA",1996,"value.u",0.625107454489135
"mad_gdppc","FRA",1997,"value.u",0.63915740023197
"mad_gdppc","FRA",1998,"value.u",0.654413644368071
"mad_gdppc","FRA",1999,"value.u",0.675646758951296
"mad_gdppc","FRA",2001,"value.u",0.712165479796204
"mad_gdppc","FRA",2002,"value.u",0.715847276157927
"mad_gdppc","FRA",2003,"value.u",0.720306864581191
"mad_gdppc","FRA",2004,"value.u",0.734883596133663
"mad_gdppc","FRA",2005,"value.u",0.74563635737221
"mad_gdppc","FRA",2006,"value.u",0.760720933391922
"mad_gdppc","FRA",2007,"value.u",0.775140654793419
"mad_gdppc","NOR",1992,"value.u",0.668062355419527
"mad_gdppc","NOR",1993,"value.u",0.684311261394469
"mad_gdppc","NOR",1994,"value.u",0.720844455714253
"mad_gdppc","NOR",1995,"value.u",0.752201228342057
"mad_gdppc","NOR",1996,"value.u",0.792442333509008
"mad_gdppc","NOR",1997,"value.u",0.833555511688254
"mad_gdppc","NOR",1998,"value.u",0.847799753850259
"mad_gdppc","NOR",1999,"value.u",0.860874036400597
"mad_gdppc","NOR",2001,"value.u",0.900047607529304
"mad_gdppc","NOR",2002,"value.u",0.910468485908062
"mad_gdppc","NOR",2003,"value.u",0.916203432483096
"mad_gdppc","NOR",2004,"value.u",0.950989767866688
"mad_gdppc","NOR",2005,"value.u",0.975027161502107
"mad_gdppc","NOR",2006,"value.u",0.995513112588195
"mad_gdppc","NOR",2007,"value.u",1
"mad_gdppc","POL",1992,"value.u",0.0900558928678161
"mad_gdppc","POL",1993,"value.u",0.0966670915277223
"mad_gdppc","POL",1994,"value.u",0.106649025176384
"mad_gdppc","POL",1995,"value.u",0.120722584161855
"mad_gdppc","POL",1996,"value.u",0.133795387288091
"mad_gdppc","POL",1997,"value.u",0.149538482056158
"mad_gdppc","POL",1998,"value.u",0.163214080631537
"mad_gdppc","POL",1999,"value.u",0.17532031167425
"mad_gdppc","POL",2001,"value.u",0.190483136911201
"mad_gdppc","POL",2002,"value.u",0.194817039620392
"mad_gdppc","POL",2003,"value.u",0.206373320180115
"mad_gdppc","POL",2004,"value.u",0.222922216094268
"mad_gdppc","POL",2005,"value.u",0.234745654212476
"mad_gdppc","POL",2006,"value.u",0.255702483591108
"mad_gdppc","POL",2007,"value.u",0.280080571798606
"mad_gdppc","SWE",1992,"value.u",0.56738251956559
"mad_gdppc","SWE",1993,"value.u",0.551672990634399
"mad_gdppc","SWE",1994,"value.u",0.57009423367074
"mad_gdppc","SWE",1995,"value.u",0.590750621487537
"mad_gdppc","SWE",1996,"value.u",0.599859723252249
"mad_gdppc","SWE",1997,"value.u",0.620986353397782
"mad_gdppc","SWE",1998,"value.u",0.648908636396306
"mad_gdppc","SWE",1999,"value.u",0.68205488931448
"mad_gdppc","SWE",2001,"value.u",0.720266420355223
"mad_gdppc","SWE",2002,"value.u",0.738759595445483
"mad_gdppc","SWE",2003,"value.u",0.753370106872185
"mad_gdppc","SWE",2004,"value.u",0.775323047039259
"mad_gdppc","SWE",2005,"value.u",0.802603061796509
"mad_gdppc","SWE",2006,"value.u",0.838952619182075
"mad_gdppc","SWE",2007,"value.u",0.861874401346586
"mad_gdppc","UKR",1992,"value.u",0.0936578986590082
"mad_gdppc","UKR",1993,"value.u",0.0660855461320622
"mad_gdppc","UKR",1994,"value.u",0.0286464837548749
"mad_gdppc","UKR",1995,"value.u",0.013799586650054
"mad_gdppc","UKR",1996,"value.u",0.00328599321775275
"mad_gdppc","UKR",1997,"value.u",0.00106544106548959
"mad_gdppc","UKR",1998,"value.u",0
"mad_gdppc","UKR",1999,"value.u",0.000711401552878872
"mad_gdppc","UKR",2001,"value.u",0.0188359108913267
"mad_gdppc","UKR",2002,"value.u",0.0261952525304165
"mad_gdppc","UKR",2003,"value.u",0.0391982153576824
"mad_gdppc","UKR",2004,"value.u",0.0572490789317559
