social,dataset,varname,varcode,vartype,range_min,range_max,file,dir,unit,description,duplicate category,multiplier
energy,,,,,,,,,,,,
housing,,,,,,,,,,,,
sanitation,UNEP,,,ratio,,,WasteWaterTreatment2011.xlsx,G:\Documents\PostDocKVA\Data\UNEP\melted,pct,Population connected to wastewater treatment,,1
sanitation,UNEP,,,,,,WasteWaterCollect2011.xls,,,Population connected to wastewater collecting system,,1
sanitation,UNEP,,,,,,MWCollect2011.xls,,,Municipal waste collected,,
water,UNEP,,,,,,ISIC36_Pop2011.xls,,,Total population supplied by water supply industry,,
income,QoG,GDP per Capita,mad_gdppc,con,,,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,Geary-Khamis dollar per capita,GDP per Capita in 1990 International Geary-Khamis dollars. (The Geary-Khamis dollar is a hypothetical unit of currency that has the same purchasing power that the U.S. dollar had in the United States at a given point in time).,,1
jobs,QoG,Unemployment total,wdi_unempilo,ratio,,,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Unemployment, total (% of total labor force) (modeled ILO estimate) (N=172, 1991-2012). Unemployment refers to the share of the labor force that is without work but available for and seeking employment.",,-1
jobs,QoG,Unemployment male,wdi_unempmilo,ratio,,,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Unemployment, male (% of male labor force) (modeled ILO estimate) (N=172, 1991-2012). Unemployment refers to the share of the labor force that is without work but available for and seeking employment.",,-1
jobs,QoG,Unemployment female,wdi_unempfilo,ratio,,,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Unemployment, female (% of female labor force) (modeled ILO estimate) (N=172, 1991-2012). Unemployment refers to the share of the labor force that is without work but available for and seeking employment.",,-1
jobs,QoG,Unemployment youth total,wdi_unempyilo,ratio,,,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Unemployment, youth total (% of labor force ages 15-24) (ILO) (N=172, 1991-2012). Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.",,-1
jobs,QoG,Unemployment youth male,wdi_unempymilo,ratio,,,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Unemployment, youth male (% fem 15-24) (N=172, 1991-2012). Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.",,-1
jobs,QoG,Unemployment youth female,wdi_unempyfilo,ratio,,,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Unemployment, youth female (% fem 15-24) (N=172, 1991-2012). ILO Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.",,-1
food,QoG,Depth of the food deficit,wdi_dofdcal,con,,,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,kilocalories per person per day,"Depth of the food de cit (kilocalories per person per day) (N=171, 1992-2013). The depth of the food de cit indicates how many calories would be needed to lift the undernourished from their status, everything else being constant. The average intensity of food deprivation of the undernourished, estimated as the dierence between the average dietary energy requirement and the average dietary energy consumption of the undernourished population (food-deprived), is multiplied by the number of undernourished to provide an estimate of the total food de cit in the country, which is then normalized by the total population.",,-1
household goods,,,,,,,,,,,,
safety,QoG,Disappearance,ciri_disap,ordinal,0,2,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,ordinal,"Disappearance (1981-2011). Disappearances are cases in which people have disappeared, political motivation appears likely, and the victims have not been found. Knowledge of the whereabouts of the disappeared is, by de nition ,not public knowledge. However, while there is typically no way of knowing where victims are, it is typically known by whom they were taken and under what circumstances. A score of 0 indicates that disappearances have occurred frequently in a given year; a score of 1 indicates that disappearances occasionally occurred; and a score of 2 indicates that disappearances did not occur in a given year.",,1
